STATE,COUNTY,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031+
ARKANSAS,CLEVELAND,0,37,0,0,0,0,0,0,0,0,0,8
ARKANSAS,CONWAY,49,115,7,0,0,0,29,0,56,0,0,33
ARKANSAS,CRAIGHEAD,0,84,71,42,0,28,64,479,39,351,210,262
ARKANSAS,CRAWFORD,0,0,0,462,0,0,0,0,0,0,0,0
ARKANSAS,CRITTENDEN,"2,697",973,448,200,181,246,331,128,122,0,182,"2,462"
ARKANSAS,CROSS,"1,650",317,277,"1,179",966,210,"1,011",621,567,6,429,"3,645"
ARKANSAS,DALLAS,13,0,86,0,104,0,0,0,0,0,0,47
ARKANSAS,DESHA,351,503,237,356,13,124,333,395,722,327,"1,266","2,632"
ARKANSAS,DREW,"1,023",486,321,398,441,213,425,226,137,52,651,412
ARKANSAS,FAULKNER,435,193,119,0,10,0,0,0,0,36,0,201
ARKANSAS,FRANKLIN,0,230,31,97,0,0,0,0,0,0,0,68
ARKANSAS,FULTON,0,0,16,0,0,0,0,0,0,0,1,0
ARKANSAS,GRANT,1,0,0,0,0,0,0,0,0,0,0,0
ARKANSAS,GREENE,459,348,323,380,29,145,23,59,89,130,77,443
ARKANSAS,HEMPSTEAD,117,0,443,75,0,0,0,0,228,0,0,74
ARKANSAS,HOT SPRING,0,0,16,0,0,0,0,0,0,0,0,0
ARKANSAS,INDEPENDENCE,616,600,570,40,106,789,469,240,215,471,42,661
ARKANSAS,IZARD,0,0,2,0,0,0,0,0,0,0,0,0
ARKANSAS,JACKSON,667,"2,133",464,"2,465",657,"1,705","1,555",392,154,539,505,"3,210"
ARKANSAS,JEFFERSON,"1,001","1,494",659,"3,015",694,"1,032",326,653,343,"1,105","1,618","11,333"
ARKANSAS,JOHNSON,0,0,0,0,0,0,9,0,0,22,0,0
ARKANSAS,LAWRENCE,102,350,231,12,207,360,213,273,195,15,413,308
ARKANSAS,LEE,245,234,0,313,736,7,435,140,0,34,0,4
ARKANSAS,LINCOLN,597,752,261,137,276,525,0,999,397,285,851,"1,950"
ARKANSAS,LITTLE RIVER,0,0,5,0,0,0,0,0,0,0,0,0
ARKANSAS,LOGAN,37,0,17,0,0,0,0,0,0,0,0,0
ARKANSAS,LONOKE,"1,198","1,133","3,286","1,115",364,560,374,61,259,179,118,"3,195"
ARKANSAS,MADISON,6,3,0,4,0,0,0,0,0,0,0,0
ARKANSAS,MILLER,981,0,0,0,0,0,87,0,0,0,0,0
ARKANSAS,MISSISSIPPI,0,187,52,7,28,0,0,276,0,20,0,66
ARKANSAS,MONROE,362,734,759,457,322,167,165,343,0,457,20,760
ARKANSAS,MONTGOMERY,0,0,0,0,0,6,0,0,0,0,0,0
ARKANSAS,NEVADA,408,0,94,184,0,0,8,27,0,0,0,0
ARKANSAS,OUACHITA,26,0,0,0,0,0,0,0,0,0,0,87
ARKANSAS,PERRY,0,164,45,273,5,122,0,0,0,0,0,613
ARKANSAS,PHILLIPS,705,140,50,655,247,141,184,89,0,0,137,593
ARKANSAS,POINSETT,277,147,246,71,143,133,440,126,0,0,12,654
ARKANSAS,POPE,465,119,104,208,136,157,0,38,50,0,0,405
ARKANSAS,PRAIRIE,"2,360","1,229","1,653",829,256,"2,244",901,"1,449",729,335,905,"1,238"
ARKANSAS,PULASKI,527,"1,102",116,0,23,87,424,175,226,81,208,468
ARKANSAS,RANDOLPH,7,33,49,0,0,20,17,25,1,0,5,97
ARKANSAS,ST FRANCIS,163,634,160,"1,040",328,638,313,397,97,90,7,271
ARKANSAS,SCOTT,99,67,8,0,0,0,0,0,0,0,0,149
ARKANSAS,SEARCY,0,0,61,0,0,0,0,0,0,0,0,0
ARKANSAS,SEVIER,22,9,5,0,0,0,0,0,0,0,0,0
ARKANSAS,SHARP,0,42,22,25,0,9,8,1,3,0,0,34
ARKANSAS,STONE,0,0,0,13,0,0,0,0,0,0,0,0
ARKANSAS,WASHINGTON,64,5,0,29,0,0,0,0,0,0,0,0
ARKANSAS,WHITE,"1,736","2,489","2,726","1,086",478,"2,069",631,"1,253",9,715,804,"3,252"
ARKANSAS,WOODRUFF,498,758,444,664,0,96,95,750,432,248,649,999
ARKANSAS,YELL,617,393,590,219,843,421,86,44,97,239,0,"1,159"
CALIFORNIA,COLUSA,0,381,0,0,0,0,0,0,0,0,0,198
CALIFORNIA,GLENN,872,0,85,0,0,0,0,0,0,0,0,0
CALIFORNIA,HUMBOLDT,0,0,0,0,0,0,0,0,0,0,0,283
CALIFORNIA,KERN,897,0,373,0,0,0,0,0,0,0,0,0
CALIFORNIA,LOS ANGELES,120,0,218,0,0,0,0,0,0,0,0,0
CALIFORNIA,MENDOCINO,0,0,0,0,0,0,0,0,0,0,0,200
CALIFORNIA,MERCED,0,0,559,0,0,0,0,0,0,0,0,754
CALIFORNIA,MONTEREY,603,"1,070","4,064","1,210",0,0,425,0,0,0,0,0
CALIFORNIA,SAN LUIS OBISPO,"2,446","5,740","7,906",589,0,0,294,"1,000",0,0,0,0
CALIFORNIA,SISKIYOU,"2,642","1,317","1,473","1,445",0,0,0,0,0,0,0,49
CALIFORNIA,SUTTER,381,0,642,0,0,0,0,0,0,0,0,0
CALIFORNIA,YOLO,"3,071",65,"1,055",0,0,0,0,0,0,0,0,0
COLORADO,ADAMS,"11,255","2,215","4,343","6,625",14,0,"4,142",0,0,0,2,317
COLORADO,ALAMOSA,0,0,0,0,0,0,0,0,"1,281","1,060","1,136",700
